,src_id,dest_id,month,time_taken
1031,494,865,10,68.82816605359957
1032,494,865,11,67.75623268698061
1033,494,865,12,10.310650887573965
1035,496,290,1,100.73990525603429
1036,496,290,2,107.13504517356158
1037,496,290,3,116.6990587016785
1038,496,290,4,145.04440497335702
1039,496,290,5,138.31726184168699
1040,496,290,6,145.77822089287693
1041,496,290,7,142.6112759643917
1042,496,290,8,144.9532710280374
1043,496,290,9,146.80032076984764
1044,496,290,10,147.71052631578948
1045,496,290,11,144.9532710280374
1046,496,290,12,121.82177712572559
1047,496,333,1,60.0
1048,496,333,2,60.0
1049,496,333,3,29.473396002555443
1073,498,277,4,122.59927797833934
1074,498,277,5,121.12531969309462
1075,498,277,6,122.44489559164734
1076,498,277,7,121.11111111111111
1077,498,277,8,121.61260426320668
1078,498,277,9,122.46587153326628
1079,498,277,10,122.59927797833934
1080,498,277,11,121.61260426320668
1081,498,277,12,29.294797687861273
1096,498,487,2,3.2449628844114526
1097,498,487,3,22.573276455208475
1098,498,487,4,43.32378223495702
1100,498,487,6,30.74818986323411
1103,498,487,9,18.76660341555977
1104,498,487,10,44.53257790368272
1105,498,487,11,2.1256038647342996
1117,498,1013,1,1102.8349514563106
1146,504,245,1,113.6986301369863
1147,504,245,2,113.45541401273886
1148,504,245,3,100.68508287292818
1149,504,245,4,67.277628032345
1150,504,245,5,68.78438331854481
1151,504,245,6,67.4090909090909
1152,504,245,7,68.93169877408056
1153,504,245,8,68.1159420289855
1154,504,245,9,67.52139318420657
1155,504,245,10,67.277628032345
1156,504,245,11,68.1159420289855
1157,504,245,12,92.22544878563886
1163,504,889,1,26.678765880217785
1164,504,889,2,27.92022792022792
1165,504,889,3,24.37339841366687
1166,504,889,4,39.946438136047135
1167,504,889,5,11.47136563876652
1168,504,889,6,34.38506698780672
1169,504,889,7,12.771503040834057
1170,504,889,8,4.491362763915547
1171,504,889,9,47.525727069351234
1172,504,889,10,39.946438136047135
1173,504,889,11,4.491362763915547
1174,504,889,12,31.327572663000787
1179,504,1118,3,35.421948569358925
1180,504,1118,4,70.4
1181,504,1118,5,79.63636363636364
1182,504,1118,6,71.48466257668711
1183,504,1118,7,79.76470588235294
1184,504,1118,8,76.71428571428571
1185,504,1118,9,71.64071856287426
1186,504,1118,10,70.4
1187,504,1118,11,76.71428571428571
1188,504,1118,12,38.79577291717867
1189,510,1043,1,58.651685393258425
1190,510,1043,2,116.09467455621302
1191,510,1043,3,97.0347608987901
1192,510,1043,4,110.60240963855422
1194,510,1043,6,121.62162162162163
1195,510,1043,7,180.0
1196,510,1043,8,180.0
1197,510,1043,9,180.0
1198,510,1043,10,180.0
1199,510,1043,11,180.0
1200,510,1043,12,130.89979162720212
1201,510,1120,1,133.10393258426967
1202,510,1120,2,130.59432799013564
1203,510,1120,3,128.95505186323473
1204,510,1120,4,127.46987951807229
1205,510,1120,5,137.6424870466321
1206,510,1120,6,133.3783783783784
1207,510,1120,7,159.03345724907064
1208,510,1120,8,164.68085106382978
1209,510,1120,9,166.690281160062
1210,510,1120,10,168.48
1211,510,1120,11,165.7703927492447
1212,510,1120,12,142.26558060238682
1220,512,510,2,180.0
1221,512,510,3,180.0
1222,512,510,4,240.0
1245,512,1120,9,2.61678104936905
1249,587,1000,1,127.53024193548387
1250,587,1000,2,121.68610816542947
1251,587,1000,3,153.29847254713087
1252,587,1000,4,163.323782234957
1253,587,1000,5,137.97773654916512
1254,587,1000,6,157.69911504424778
1255,587,1000,7,65.1779359430605
1256,587,1000,8,127.65306122448979
1257,587,1000,9,172.55218216318787
1258,587,1000,10,163.5127478753541
1259,587,1000,11,167.60064412238324
1260,587,1000,12,88.12985950075024
1261,587,1002,1,127.86290322580645
1262,587,1002,2,128.271474019088
1263,587,1002,3,128.58676207513417
1264,587,1002,4,128.93982808022923
1265,587,1002,5,127.2356215213358
1266,587,1002,6,128.78519710378117
1267,587,1002,7,126.93950177935943
1268,587,1002,8,127.95918367346938
1269,587,1002,9,128.34914611005692
1270,587,1002,10,128.1586402266289
1271,587,1002,11,127.72946859903382
1272,587,1002,12,109.53212385759105
1273,665,709,1,120.0
1274,665,709,2,120.0
1275,665,709,3,120.0
1276,665,709,4,120.0
1277,665,709,5,120.0
1278,665,709,6,125.99866696289713
1279,665,709,7,153.16953316953317
1280,665,709,8,157.86816269284714
1281,665,709,9,161.28440366972478
1282,665,709,10,162.58675078864354
1283,665,709,11,160.26845637583892
1284,665,709,12,135.19129782445611
1287,665,813,1,180.0
1288,665,813,2,180.0
1289,665,813,3,180.0
1290,665,813,4,180.0
1291,665,813,5,180.0
1292,665,813,6,180.0
1293,665,813,7,180.0
1294,665,813,8,180.0
1295,665,813,9,180.0
1296,665,813,10,180.0
1297,665,813,11,180.0
1298,665,813,12,98.97974493623406
1300,665,1164,3,660.0
1301,665,1164,4,660.0
1302,665,1164,5,660.0
1303,665,1164,6,660.0
1336,709,1164,7,180.73710073710075
1337,709,1164,8,259.523141654979
1338,709,1164,9,333.99737876802095
1339,709,1164,10,368.32807570977917
1340,709,1164,11,309.9776286353468
1342,757,665,2,840.0
1343,757,665,3,840.0
1360,757,880,1,126.07541899441341
1361,757,880,2,128.2984196986402
1362,757,880,3,128.12094620373904
1363,757,880,4,126.9377990430622
1364,757,880,5,125.60928433268859
1365,757,880,6,123.5025721315142
1366,757,880,7,60.22208513263418
1367,757,880,8,105.27503526093089
1368,757,880,9,110.54645409565696
1369,757,880,10,133.03415409054804
1370,757,880,11,102.52908067542214
1371,757,880,12,72.49081142210913
1375,759,362,1,188.1703910614525
1376,759,362,2,189.21719955898567
1377,759,362,3,190.96528042731782
1378,759,362,4,192.3089203751746
1379,759,362,5,186.61508704061896
1380,759,362,6,151.08700514426303
1386,759,362,12,96.22278767316935
1399,759,880,2,240.0
1400,759,880,3,240.0
1408,774,512,5,101.24369747899159
1410,774,512,7,329.6309314586995
1411,774,512,8,45.744680851063826
1417,774,1128,1,109.56703910614524
1418,774,1128,2,139.2061742006615
1419,774,1128,3,131.87523845860358
1420,774,1128,4,155.72966507177034
1421,774,1128,5,56.63442940038685
1422,774,1128,6,136.7278013867144
1423,774,1128,7,120.0
1424,774,1128,8,120.0
1425,774,1128,9,120.0
1426,774,1128,10,120.0
1427,774,1128,11,120.0
1428,774,1128,12,82.64065592309868
1429,813,141,1,234.08333333333334
1430,813,141,2,236.8882395909423
1431,813,141,3,235.96361569073338
1432,813,141,4,236.6270783847981
1433,813,141,5,229.06290115532735
1434,813,141,6,211.47934251443803
1436,813,141,8,77.84011220196354
1437,813,141,9,81.913499344692
1438,813,141,10,125.15772870662461
1439,813,141,11,67.56152125279642
1440,813,141,12,70.12753188297074
1441,813,665,1,180.0
1442,813,665,2,180.0
1443,813,665,3,182.53793626707133
1444,813,665,4,185.29691211401425
1445,813,665,5,188.58793324775354
1446,813,665,6,182.97201243891604
1447,813,665,7,180.0
1448,813,665,8,180.0
1449,813,665,9,180.0
1450,813,665,10,180.0
1451,813,665,11,180.0
1452,813,665,12,98.97974493623406
1453,813,709,2,300.0
1454,813,709,3,300.0
