,src_id,dest_id,hour,time_taken
247,128,1000,17,120.0
248,128,1000,18,120.0
249,128,1000,19,120.0
250,128,1000,20,120.0
251,128,1000,21,120.0
252,128,1000,22,120.0
253,128,1000,23,120.0
255,131,362,1,180.0
256,131,362,2,180.0
257,131,362,5,176.11764705882354
258,131,362,6,175.0363499623966
259,131,362,7,175.7532172596518
260,131,362,8,175.74919492328092
261,131,362,9,176.08076009501187
262,131,362,10,180.0
263,131,362,11,180.0
264,131,362,12,180.0
265,131,362,13,180.0
266,131,362,14,180.0
267,131,362,15,180.0
268,131,362,16,180.0
269,131,362,17,180.0
270,131,362,18,180.0
271,131,362,19,180.0
272,131,362,20,180.0
273,131,362,21,180.0
274,131,362,22,180.0
275,131,362,23,180.0
282,131,1128,1,157.91626095423564
283,131,1128,2,180.0
285,131,1128,6,151.9765739385066
286,131,1128,7,175.3053435114504
287,131,1128,8,175.34002652017426
288,131,1128,9,175.51487414187642
289,131,1128,10,174.36038514442916
290,131,1128,11,172.60595130748422
291,131,1128,12,172.61039351156504
292,131,1128,13,172.84883720930233
293,131,1128,14,162.5956937799043
294,131,1128,15,150.25065648126045
295,131,1128,16,151.39445628997868
296,131,1128,17,151.33801480356803
297,131,1128,18,151.33319927609088
298,131,1128,19,152.5152224824356
299,131,1128,20,150.2886075949367
300,131,1128,21,151.1058074781225
301,131,1128,22,151.43905635648755
302,131,1128,23,151.52249134948096
304,141,461,1,232.94117647058823
305,141,461,2,222.9268292682927
306,141,461,3,180.0
307,141,461,6,239.06581740976645
308,141,461,7,237.56906077348066
309,141,461,8,237.98550171690195
310,141,461,9,238.6368330464716
311,141,461,10,237.87951807228916
312,141,461,11,237.18700053276504
313,141,461,12,237.20487030174695
314,141,461,13,236.68965517241378
315,141,461,14,236.6412213740458
316,141,461,15,237.20634920634922
317,141,461,16,237.888
318,141,461,17,238.21198780900778
319,141,461,18,237.98087954110898
320,141,461,19,237.55247524752474
321,141,461,20,236.6162310866575
322,141,461,21,236.51384475714934
323,141,461,22,236.08488063660477
324,141,461,23,236.66666666666666
325,141,665,17,360.0
328,141,813,1,167.8048780487805
329,141,813,2,120.0
330,141,813,5,182.9596412556054
331,141,813,6,182.13661379087083
332,141,813,7,181.90820383086376
333,141,813,8,182.12048192771084
334,141,813,9,182.50569476082003
335,141,813,10,180.0
336,141,813,11,180.0
337,141,813,12,180.0
338,141,813,13,180.0
339,141,813,14,180.0
340,141,813,15,180.0
341,141,813,16,180.0
342,141,813,17,180.0
343,141,813,18,179.09677419354838
344,141,813,19,178.74213836477986
345,141,813,20,178.89879391714734
346,141,813,21,178.74213836477986
347,141,813,22,178.79656160458453
348,141,813,23,178.44256975989617
351,154,885,1,67.70053475935829
352,154,885,2,67.5
353,154,885,5,66.88235294117646
354,154,885,6,70.29780564263324
355,154,885,7,117.98494499131442
356,154,885,8,113.6490727532097
357,154,885,9,88.84384813017414
358,154,885,10,64.25841674249318
359,154,885,11,65.2801805189921
360,154,885,12,65.38137217324646
361,154,885,13,66.04205090372557
362,154,885,14,112.73898305084745
363,154,885,15,112.31146535867566
364,154,885,16,64.61278513094904
365,154,885,17,64.54621149042464
366,154,885,18,64.61278513094904
367,154,885,19,64.66910542068507
368,154,885,20,65.01500214316331
369,154,885,21,65.11363636363636
370,154,885,22,65.28415506210011
371,154,885,23,65.85878818227341
373,154,1179,1,120.0
374,154,1179,2,120.0
375,154,1179,5,120.0
376,154,1179,6,120.0
377,154,1179,7,120.0
378,154,1179,8,120.0
379,154,1179,9,120.0
380,154,1179,10,120.0
381,154,1179,11,120.0
382,154,1179,12,120.0
383,154,1179,13,120.0
384,154,1179,14,120.0
385,154,1179,15,120.0
386,154,1179,16,120.0
387,154,1179,17,120.0
388,154,1179,18,120.0
389,154,1179,19,120.0
390,154,1179,20,120.0
391,154,1179,21,120.0
392,154,1179,22,120.0
393,154,1179,23,120.0
394,156,491,0,117.60896637608967
395,156,491,1,117.91907514450867
396,156,491,2,116.92307692307692
397,156,491,5,116.61538461538461
398,156,491,6,104.32789162903786
399,156,491,7,118.01560062402496
400,156,491,8,117.98494499131442
401,156,491,9,118.00277392510402
402,156,491,10,118.23788546255507
403,156,491,11,118.16653934300993
404,156,491,12,118.42105263157895
405,156,491,13,118.41569219162581
406,156,491,14,115.44303797468355
407,156,491,15,114.15094339622641
408,156,491,16,118.13838039094011
409,156,491,17,118.33425874514158
410,156,491,18,118.31033511686849
411,156,491,19,118.36065573770492
412,156,491,20,118.44961240310077
413,156,491,21,118.21237585943469
414,156,491,22,117.98882681564245
415,156,491,23,117.99399914273468
416,156,902,0,51.100478468899524
417,156,902,1,120.0
418,156,902,2,120.0
419,156,902,5,120.0
420,156,902,6,120.0
421,156,902,7,170.4055619930475
422,156,902,8,169.64336661911554
423,156,902,9,144.82168330955778
424,156,902,10,120.0
425,156,902,11,120.0
426,156,902,12,120.0
427,156,902,13,120.0
428,156,902,14,120.0
429,156,902,15,120.0
430,156,902,16,120.0
431,156,902,17,120.0
432,156,902,18,120.0
433,156,902,19,120.0
434,156,902,20,120.0
435,156,902,21,120.0
436,156,902,22,120.0
437,156,902,23,120.0
439,167,856,1,307.82608695652175
440,167,856,2,300.0
441,167,856,5,243.44410876132932
442,167,856,6,235.31787584143606
443,167,856,7,210.3472409152086
444,167,856,8,211.146640019985
445,167,856,9,214.25510204081633
446,167,856,10,213.91659852820933
447,167,856,11,217.4600922312877
448,167,856,12,219.70534069981585
449,167,856,13,237.26732673267327
450,167,856,14,231.9094676442461
451,167,856,15,229.18032786885246
452,167,856,16,229.58549222797927
453,167,856,17,227.4903474903475
454,167,856,18,223.97936624907885
455,167,856,19,217.60045597036193
456,167,856,20,214.61796496459186
457,167,856,21,215.31310026892046
458,167,856,22,218.25722664432342
459,167,856,23,214.91074819597418
461,167,1193,1,60.0
462,167,1193,2,60.0
463,167,1193,5,60.0
464,167,1193,6,60.0
465,167,1193,7,60.0
466,167,1193,8,60.0
467,167,1193,9,60.0
468,167,1193,10,60.0
469,167,1193,11,60.0
470,167,1193,12,60.0
471,167,1193,13,60.0
472,167,1193,14,90.65375302663438
473,167,1193,15,93.06442251886244
474,167,1193,16,95.57088122605364
475,167,1193,17,96.39674173454719
476,167,1193,18,95.36312849162012
477,167,1193,19,87.81306171360096
478,167,1193,20,60.0
479,167,1193,21,60.0
480,167,1193,22,60.0
481,167,1193,23,60.0
483,227,494,1,120.0
484,227,494,2,120.0
485,227,494,3,120.0
486,227,494,5,103.75
487,227,494,6,114.66802860061287
488,227,494,7,119.39930689256835
489,227,494,8,120.0
490,227,494,9,120.0
491,227,494,10,120.0
492,227,494,11,120.0
493,227,494,12,120.0
494,227,494,13,122.16591461298161
495,227,494,14,121.98284080076263
496,227,494,15,129.4450050454087
497,227,494,16,178.53006681514478
498,227,494,17,178.77453580901857
499,227,494,18,177.53986332574033
500,227,494,19,163.48842995770093
501,227,494,20,165.23423944476576
502,227,494,21,155.61576354679804
503,227,494,22,120.0
504,227,494,23,120.0
507,227,1110,0,94.3089430894309
508,227,1110,1,60.0
509,227,1110,2,60.0
510,227,1110,4,60.0
511,227,1110,5,53.71394938198941
512,227,1110,6,82.28192859771808
513,227,1110,7,71.29319371727749
514,227,1110,8,71.62335991767429
515,227,1110,9,73.138444567016
516,227,1110,10,60.0
517,227,1110,11,63.79975874547648
518,227,1110,12,64.61982675649664
519,227,1110,13,64.92476060191518
520,227,1110,14,65.12658227848101
521,227,1110,15,64.34651373377604
522,227,1110,16,64.29139072847683
523,227,1110,17,63.64464692482916
524,227,1110,18,64.12318656146603
525,227,1110,19,64.47622008082064
526,227,1110,20,60.0
527,227,1110,21,60.0
528,227,1110,22,61.91829484902309
529,227,1110,23,93.95402298850574
530,228,249,0,60.0
531,228,249,1,60.0
532,228,249,2,60.0
533,228,249,5,60.0
534,228,249,6,60.0
535,228,249,7,60.0
536,228,249,8,60.0
537,228,249,9,60.0
538,228,249,10,60.0
539,228,249,11,60.0
540,228,249,12,60.0
541,228,249,13,60.0
542,228,249,14,60.0
543,228,249,15,60.0
544,228,249,16,60.0
545,228,249,17,60.0
546,228,249,18,60.0
547,228,249,19,60.0
548,228,249,20,60.0
549,228,249,21,60.0
550,228,249,22,60.0
551,228,249,23,60.0
553,228,512,5,60.0
554,228,512,6,60.0
555,228,512,7,60.0
556,228,512,8,60.0
557,228,512,9,60.0
558,228,512,10,60.0
559,228,512,11,60.0
560,228,512,12,60.0
561,228,512,13,60.0
562,228,512,14,60.0
563,228,512,15,60.0
564,228,512,16,60.0
566,228,1024,0,60.0
567,228,1024,1,60.0
568,228,1024,2,60.0
569,228,1024,5,60.0
570,228,1024,6,60.0
571,228,1024,7,60.0
572,228,1024,8,60.0
573,228,1024,9,60.0
574,228,1024,10,60.0
575,228,1024,11,60.0
576,228,1024,12,60.0
577,228,1024,13,60.0
578,228,1024,14,60.0
579,228,1024,15,60.0
580,228,1024,16,60.0
581,228,1024,17,60.0
582,228,1024,18,60.0
583,228,1024,19,60.0
584,228,1024,20,60.0
585,228,1024,21,60.0
586,228,1024,22,60.0
587,228,1024,23,60.0
594,245,504,6,29.25138632162662
595,245,504,7,33.132687778068565
596,245,504,8,33.0893883951908
597,245,504,9,27.756160830090792
598,245,504,10,27.4601593625498
599,245,504,11,30.06335797254488
600,245,504,12,30.126984126984127
601,245,504,13,31.627093226693326
602,245,504,14,34.540942928039705
603,245,504,15,32.87671232876713
604,245,504,16,33.68677905944987
605,245,504,17,30.72223346146065
606,245,504,18,34.23354373309288
607,245,504,19,34.50622406639004
608,245,504,20,29.929044465468305
609,245,504,21,29.572559366754618
610,245,504,22,29.572559366754618
611,245,504,23,2.035048049745619
614,245,1118,5,120.0
615,245,1118,6,115.687393040502
616,245,1118,7,120.0
617,245,1118,8,119.91549295774648
618,245,1118,9,118.17596566523605
619,245,1118,10,120.0
620,245,1118,11,120.0
621,245,1118,12,120.0
622,245,1118,13,120.0
623,245,1118,14,120.0
624,245,1118,15,120.0
625,245,1118,16,120.0
626,245,1118,17,120.0
627,245,1118,18,120.0
628,245,1118,19,120.0
629,245,1118,20,120.0
630,245,1118,21,120.0
631,245,1118,22,112.47771836007131
632,249,228,0,60.0
633,249,228,1,60.0
634,249,228,2,60.0
635,249,228,5,60.0
636,249,228,6,60.0
637,249,228,7,60.0
638,249,228,8,60.0
639,249,228,9,60.0
640,249,228,10,60.0
641,249,228,11,60.0
642,249,228,12,60.0
643,249,228,13,60.0
644,249,228,14,60.0
645,249,228,15,60.0
646,249,228,16,60.0
647,249,228,17,60.0
648,249,228,18,60.0
649,249,228,19,60.0
650,249,228,20,60.0
651,249,228,21,60.0
652,249,228,22,60.0
653,249,228,23,60.0
658,251,228,15,240.0
668,251,889,1,60.0
669,251,889,2,60.0
670,251,889,5,60.0
671,251,889,6,60.0
672,251,889,7,63.508869179600886
673,251,889,8,95.71685047448064
674,251,889,9,94.98203923735839
675,251,889,10,93.63666555961474
676,251,889,11,91.63870046411996
677,251,889,12,90.69622445445098
678,251,889,13,93.3157894736842
679,251,889,14,94.76960634726885
680,251,889,15,94.89739663093415
681,251,889,16,94.88671157379056
682,251,889,17,94.71346312037291
683,251,889,18,93.50979354155638
684,251,889,19,60.0
685,251,889,20,60.0
686,251,889,21,60.0
687,251,889,22,60.0
688,251,889,23,60.0
696,254,911,0,5.073108709472346
697,254,911,1,60.0
698,254,911,2,60.0
699,254,911,5,60.0
700,254,911,6,60.0
701,254,911,7,60.0
702,254,911,8,60.0
703,254,911,9,60.0
704,254,911,10,60.0
705,254,911,11,60.0
706,254,911,12,60.0
707,254,911,13,60.0
708,254,911,14,60.0
709,254,911,15,60.0
710,254,911,16,60.0
711,254,911,17,60.0
712,254,911,18,60.0
713,254,911,19,60.0
714,254,911,20,60.0
715,254,911,21,60.0
716,254,911,22,60.0
717,254,911,23,60.0
