Incident Number,Day,Month,Hour,Lat,Long
16-0028810,1,Monday,May,42.34103675,-71.0878986887957
16-0028813,2,Monday,May,41.2633887,-81.5595627
16-0028816,2,Monday,May,42.2924953,-71.0936594
16-0028818,3,Monday,May,33.1398875,-80.3942635
16-0028819,4,Monday,May,42.3426385,-71.0364948
16-0028820,4,Monday,May,42.3287665,-71.084102
16-0028821,5,Monday,May,,
16-0028822,5,Monday,May,42.3426385,-71.0364948
16-0028823,5,Monday,May,42.3604823,-71.0595678
16-0028824,6,Monday,May,42.33144,-71.033348
16-0028825,6,Monday,May,42.32677425,-71.1099924259003
16-0028828,6,Monday,May,,
16-0028830,7,Monday,May,42.3417436,-71.0906399
16-0028831,7,Monday,May,42.290531,-71.063836
16-0028832,7,Monday,May,42.3586119,-71.1580255
16-0028834,7,Monday,May,42.3587017,-71.0628791
16-0028835,7,Monday,May,,
16-0028836,7,Monday,May,42.3324509,-71.0736433
16-0028837,7,Monday,May,,
16-0028838,8,Monday,May,42.3463978,-71.0882262
16-0028840,8,Monday,May,42.3356851,-71.0828233
16-0028842,8,Monday,May,42.302441,-71.069792
16-0028843,8,Monday,May,42.3436979,-71.0973964
16-0028846,8,Monday,May,,
16-0028847,8,Monday,May,42.3569604,-71.0530019667479
16-0028851,8,Monday,May,42.3334134,-71.1543191
16-0028853,9,Monday,May,42.364779,-71.053461
16-0028854,9,Monday,May,42.3548083,-71.0724531
16-0028855,9,Monday,May,,
16-0028857,9,Monday,May,42.381337,-71.017549
16-0028858,9,Monday,May,,
16-0028860,9,Monday,May,42.329009,-71.086067
16-0028862,9,Monday,May,,
16-0028863,10,Monday,May,,
16-0028864,10,Monday,May,,
16-0028865,10,Monday,May,,
16-0028867,10,Monday,May,42.366438,-71.057963
16-0028869,10,Monday,May,,
16-0028870,10,Monday,May,42.336038,-71.0707256
16-0028871,10,Monday,May,42.33558275,-71.0882140031386
16-0028872,10,Monday,May,42.3016751,-71.1086524
16-0028873,10,Monday,May,32.9557278,-80.1703711
16-0028874,10,Monday,May,42.3500548,-71.0774775
16-0028878,11,Monday,May,,
16-0028880,11,Monday,May,42.33388475,-71.0746155768419
16-0028881,11,Monday,May,42.3335133,-71.098353
16-0028882,11,Monday,May,42.3334892,-71.0806353
16-0028884,11,Monday,May,,
16-0028887,11,Monday,May,42.3003827,-71.0624746
16-0028888,11,Monday,May,42.3345126,-71.1054205
16-0028892,11,Monday,May,,
