Incident Number,Day,Month,Hour,Lat,Long
16-0000401,22,Saturday,January,42.2713409,-71.1046549
16-0000404,22,Saturday,January,42.306269,-71.078567
16-0000406,22,Saturday,January,,
16-0000407,22,Saturday,January,42.315584,-71.075024
16-0000409,23,Saturday,January,,
16-0000410,23,Saturday,January,42.2816251,-71.0731554
16-0000411,23,Saturday,January,42.318584,-71.087679
16-0000412,23,Saturday,January,,
16-0000414,23,Saturday,January,49.2499778,-122.947166
16-0000415,23,Saturday,January,42.328017,-71.0549687
16-0000418,0,Sunday,January,42.3334312,-71.0439392
16-0000419,0,Sunday,January,42.3501019,-71.0596026
16-0000420,0,Sunday,January,42.319571,-71.064202
16-0000422,0,Sunday,January,42.3481247,-71.0611242
16-0000423,0,Sunday,January,42.313129,-71.095359
16-0000424,1,Sunday,January,,
16-0000425,1,Sunday,January,52.9500834,-0.0310881
16-0000426,1,Sunday,January,,
16-0000427,2,Sunday,January,,
16-0000428,2,Sunday,January,42.27874,-71.079765
16-0000429,2,Sunday,January,42.3500548,-71.0774775
16-0000431,3,Sunday,January,,
16-0000434,3,Sunday,January,,
16-0000435,3,Sunday,January,41.3831566,-71.641729
16-0000438,4,Sunday,January,,
16-0000441,5,Sunday,January,42.2969312,-71.1143919
16-0000442,6,Sunday,January,,
16-0000444,7,Sunday,January,,
16-0000445,7,Sunday,January,42.3348931,-71.0884934
16-0000447,8,Sunday,January,42.3461453,-71.0799653
16-0000449,8,Sunday,January,42.2792649,-71.1494972
16-0000450,8,Sunday,January,,
16-0000453,9,Sunday,January,42.3741282,-71.0328065
16-0000456,9,Sunday,January,,
16-0000458,9,Sunday,January,42.317588,-71.109815
16-0000460,9,Sunday,January,,
16-0000462,9,Sunday,January,,
16-0000463,10,Sunday,January,,
16-0000464,10,Sunday,January,42.3335133,-71.098353
16-0000465,10,Sunday,January,42.306269,-71.078567
16-0000466,10,Sunday,January,42.317768,-71.097403
16-0000467,10,Sunday,January,42.2713823,-71.0681607
16-0000468,10,Sunday,January,42.3459398,-71.024938
16-0000469,10,Sunday,January,42.3350044,-71.0885753
16-0000471,10,Sunday,January,42.33703905,-71.071063760284
16-0000472,10,Sunday,January,42.306269,-71.078567
16-0000473,10,Sunday,January,42.3199571,-71.1117076
16-0000474,10,Sunday,January,,
16-0000475,10,Sunday,January,,
16-0000476,10,Sunday,January,42.317196,-71.0649343
16-0000477,11,Sunday,January,,
16-0000478,11,Sunday,January,,
16-0000479,11,Sunday,January,42.326548,-71.104135
16-0000480,11,Sunday,January,42.331396,-71.104978
16-0000482,11,Sunday,January,,
16-0000483,11,Sunday,January,42.3348931,-71.0884934
16-0000486,12,Sunday,January,42.9908333,-80.2705126
16-0000487,12,Sunday,January,42.285564,-71.091106
16-0000488,12,Sunday,January,,
16-0000490,12,Sunday,January,34.273712,-81.94667
16-0000492,12,Sunday,January,42.321579,-71.119817
16-0000494,12,Sunday,January,42.3374108,-71.0718804
16-0000499,13,Sunday,January,42.29558,-71.074256
16-0000500,13,Sunday,January,42.3587017,-71.0628791
16-0000503,13,Sunday,January,42.3248426,-71.0950158
16-0000504,13,Sunday,January,42.391179,-71.004135
16-0000505,13,Sunday,January,,
16-0000507,13,Sunday,January,42.3440103,-71.0901672
16-0000510,14,Sunday,January,42.3553922,-71.0627355744634
16-0000512,14,Sunday,January,,
16-0000514,14,Sunday,January,37.9997955,-86.0107981
16-0000521,15,Sunday,January,42.3275984,-71.0612756
16-0000523,15,Sunday,January,,
16-0000528,16,Sunday,January,,
16-0000529,16,Sunday,January,42.3403161,-71.0692782
16-0000530,16,Sunday,January,42.3384241,-71.0819833
16-0000531,17,Sunday,January,,
16-0000534,17,Sunday,January,,
16-0000538,18,Sunday,January,42.351694,-71.0781296
16-0000539,18,Sunday,January,42.3164036,-71.1150267
16-0000544,19,Sunday,January,42.3374108,-71.0718804
16-0000545,19,Sunday,January,42.332364,-71.106374
16-0000546,19,Sunday,January,,
16-0000547,19,Sunday,January,42.317768,-71.097403
16-0000548,19,Sunday,January,42.313129,-71.095359
16-0000549,19,Sunday,January,42.3012981,-71.1125139
16-0000550,19,Sunday,January,42.315513,-71.098269
16-0000551,19,Sunday,January,42.313129,-71.095359
16-0000552,20,Sunday,January,42.376652,-71.036256
16-0000553,20,Sunday,January,42.303907,-71.057372
16-0000554,20,Sunday,January,42.339429,-71.078003
16-0000556,20,Sunday,January,42.3348931,-71.0884934
16-0000558,20,Sunday,January,42.3587085,-71.067829
16-0000559,20,Sunday,January,42.3042649,-71.0744953
16-0000560,20,Sunday,January,42.371874,-71.067064
16-0000561,21,Sunday,January,42.334251,-71.050896
16-0000562,21,Sunday,January,52.9500834,-0.0310881
16-0000563,21,Sunday,January,,
16-0000564,21,Sunday,January,42.2792649,-71.1494972
16-0000567,22,Sunday,January,33.1398875,-80.3942635
16-0000569,22,Sunday,January,42.3171276,-71.0653791
16-0000571,22,Sunday,January,,
16-0000572,22,Sunday,January,,
16-0000573,22,Sunday,January,,
16-0000575,23,Sunday,January,,
16-0000576,23,Sunday,January,42.2971729,-71.0453630550995
16-0000577,23,Sunday,January,42.296243,-71.084465
16-0000579,23,Sunday,January,42.317196,-71.0649343
16-0000580,23,Sunday,January,,
16-0000582,0,Monday,January,42.2514877,-71.1147738
16-0000583,0,Monday,January,42.347664,-71.0730394
16-0000586,1,Monday,January,42.3461583,-71.0433047
16-0000590,2,Monday,January,42.292987,-71.081442
16-0000591,2,Monday,January,42.258318,-71.125902
16-0000592,2,Monday,January,42.3604823,-71.0595678
16-0000593,2,Monday,January,,
16-0000599,4,Monday,January,42.2806486,-71.0857381
16-0000600,4,Monday,January,42.3436979,-71.0973964
16-0000603,4,Monday,January,42.3319603,-71.1120478
16-0000604,5,Monday,January,42.3199571,-71.1117076
16-0000605,6,Monday,January,42.3468062,-71.0392626
16-0000606,6,Monday,January,42.258318,-71.125902
16-0000607,6,Monday,January,,
16-0000609,6,Monday,January,42.366438,-71.057963
16-0000611,7,Monday,January,,
16-0000612,7,Monday,January,43.5297395,-79.9011934
16-0000616,7,Monday,January,42.3604823,-71.0595678
16-0000618,7,Monday,January,,
16-0000621,8,Monday,January,42.346817,-71.085501
16-0000622,8,Monday,January,54.8769036,-6.2762575
16-0000623,8,Monday,January,42.3350044,-71.0885753
16-0000625,8,Monday,January,42.3525866,-71.067535
16-0000629,9,Monday,January,42.3280082,-71.0829258
16-0000632,9,Monday,January,,
16-0000634,9,Monday,January,,
16-0000639,9,Monday,January,,
16-0000641,10,Monday,January,42.3582926,-71.0602525
16-0000645,10,Monday,January,14.2797483,120.9732905
16-0000647,10,Monday,January,42.3350044,-71.0885753
16-0000648,10,Monday,January,42.3002158,-71.1131888
16-0000649,10,Monday,January,,
16-0000654,10,Monday,January,42.3464814,-71.0814679462404
16-0000656,11,Monday,January,42.33481495,-71.0722011122949
16-0000658,11,Monday,January,42.355119,-71.0619036
16-0000660,11,Monday,January,42.3593398,-71.0535429
16-0000661,11,Monday,January,42.3584119,-71.0544476583984
16-0000662,11,Monday,January,,
16-0000663,11,Monday,January,38.4206777,-76.2460557
16-0000664,11,Monday,January,42.392714,-71.004695
16-0000665,11,Monday,January,42.3299,-71.079064
16-0000667,11,Monday,January,42.316614,-71.103125
16-0000669,12,Monday,January,39.5545426,-77.7036034
16-0000670,12,Monday,January,,
16-0000671,12,Monday,January,,
16-0000672,12,Monday,January,,
16-0000674,12,Monday,January,-26.1197222,28.0397222
16-0000675,12,Monday,January,,
16-0000680,13,Monday,January,42.287186,-71.0801765
16-0000686,13,Monday,January,,
16-0000687,13,Monday,January,,
16-0000691,14,Monday,January,42.3158007,-71.0637125
16-0000693,14,Monday,January,42.3042649,-71.0744953
16-0000694,14,Monday,January,,
16-0000695,14,Monday,January,42.364058,-71.056317
16-0000699,15,Monday,January,52.4423497,-2.1203881
16-0000700,15,Monday,January,42.3525866,-71.067535
16-0000704,16,Monday,January,42.366904,-71.0684657
16-0000705,16,Monday,January,42.3503105,-71.0798846
16-0000708,16,Monday,January,33.1398875,-80.3942635
16-0000709,17,Monday,January,42.317882,-71.081988
16-0000710,17,Monday,January,,
16-0000712,17,Monday,January,42.3531008,-71.0547826
16-0000715,18,Monday,January,42.372644,-71.060758
16-0000717,18,Monday,January,42.321479,-71.079573
16-0000718,18,Monday,January,,
16-0000720,18,Monday,January,42.3553922,-71.0627355744634
16-0000721,18,Monday,January,42.250593,-71.140899
16-0000724,19,Monday,January,42.3304274,-71.0502231
16-0000725,19,Monday,January,,
16-0000726,19,Monday,January,42.3429019,-71.0574784
16-0000729,20,Monday,January,42.28725795,-71.1303627309555
16-0000731,20,Monday,January,42.277696,-71.099308
16-0000732,20,Monday,January,,
16-0000739,20,Monday,January,42.3604823,-71.0595678
16-0000741,20,Monday,January,42.3786275,-71.0254438
16-0000742,20,Monday,January,42.3426385,-71.0364948
16-0000743,20,Monday,January,42.288097,-71.077468
16-0000745,21,Monday,January,,
16-0000746,21,Monday,January,42.3482674,-71.0974195
16-0000749,21,Monday,January,42.36031,-71.0678007
16-0000752,22,Monday,January,42.3397131,-71.0558619
16-0000756,23,Monday,January,42.307081,-71.110411
16-0000757,23,Monday,January,,
16-0000759,23,Monday,January,,
16-0000761,23,Monday,January,42.334251,-71.050896
16-0000763,23,Monday,January,42.353327,-71.0529532
16-0000767,0,Tuesday,January,42.3456863,-71.0809227
16-0000769,0,Tuesday,January,37.9997955,-86.0107981
16-0000770,0,Tuesday,January,42.3498382,-71.1050242
16-0000771,0,Tuesday,January,,
16-0000772,0,Tuesday,January,42.3832783,-71.0232279
16-0000774,0,Tuesday,January,42.3582926,-71.0602525
16-0000775,0,Tuesday,January,42.3593398,-71.0535429
16-0000776,0,Tuesday,January,42.3621811,-71.0678245
16-0000777,1,Tuesday,January,42.329009,-71.086067
16-0000778,1,Tuesday,January,42.2978534,-71.0760356
16-0000780,1,Tuesday,January,,
16-0000781,1,Tuesday,January,33.1398875,-80.3942635
16-0000782,1,Tuesday,January,,
16-0000783,1,Tuesday,January,14.2797483,120.9732905
16-0000784,1,Tuesday,January,42.34855,-71.0755607
16-0000785,2,Tuesday,January,32.702477,-97.094555
16-0000786,2,Tuesday,January,42.3604823,-71.0595678
16-0000787,2,Tuesday,January,,
16-0000788,3,Tuesday,January,42.378856,-71.032359
16-0000789,3,Tuesday,January,,
16-0000796,3,Tuesday,January,42.345772,-71.08839
16-0000798,4,Tuesday,January,42.33703905,-71.071063760284
16-0000799,4,Tuesday,January,42.332001,-71.1120662
16-0000800,4,Tuesday,January,42.34855,-71.0755607
16-0000801,4,Tuesday,January,,
16-0000802,4,Tuesday,January,42.3500897,-71.0606633556785
16-0000803,4,Tuesday,January,,
16-0000805,4,Tuesday,January,,
16-0000808,5,Tuesday,January,,
16-0000809,5,Tuesday,January,,
16-0000810,5,Tuesday,January,,
16-0000811,5,Tuesday,January,42.3589395,-71.0627908
16-0000812,5,Tuesday,January,42.289754,-71.084039
16-0000814,6,Tuesday,January,32.702477,-97.094555
16-0000816,6,Tuesday,January,,
16-0000817,6,Tuesday,January,,
16-0000818,6,Tuesday,January,,
16-0000819,6,Tuesday,January,32.928427,-80.100014
16-0000821,6,Tuesday,January,42.2723208,-71.0869953
16-0000822,6,Tuesday,January,42.3484477,-71.0604701
16-0000823,7,Tuesday,January,,
16-0000824,7,Tuesday,January,,
16-0000825,7,Tuesday,January,42.5112941,-83.6235399
16-0000828,7,Tuesday,January,42.27874,-71.079765
16-0000829,7,Tuesday,January,42.3012981,-71.1125139
16-0000830,7,Tuesday,January,42.342278,-71.105358
16-0000831,7,Tuesday,January,,
16-0000834,7,Tuesday,January,42.3604823,-71.0595678
16-0000837,8,Tuesday,January,42.337783,-71.1051413
16-0000838,8,Tuesday,January,42.3754626,-71.053528
16-0000840,8,Tuesday,January,39.5545426,-77.7036034
16-0000842,8,Tuesday,January,,
16-0000843,8,Tuesday,January,,
16-0000844,8,Tuesday,January,42.3552362,-71.0540266
16-0000845,8,Tuesday,January,42.3280082,-71.0829258
16-0000848,9,Tuesday,January,,
16-0000849,9,Tuesday,January,42.329009,-71.086067
16-0000851,9,Tuesday,January,,
16-0000852,9,Tuesday,January,,
16-0000853,9,Tuesday,January,42.3473135,-71.0759078
16-0000854,9,Tuesday,January,,
16-0000856,9,Tuesday,January,42.374057,-71.0373709
16-0000858,9,Tuesday,January,42.2723208,-71.0869953
16-0000860,9,Tuesday,January,42.3434798,-71.0655655
16-0000863,10,Tuesday,January,,
16-0000864,10,Tuesday,January,,
16-0000865,10,Tuesday,January,,
16-0000866,10,Tuesday,January,,
16-0000870,10,Tuesday,January,42.293708,-71.049362
16-0000871,10,Tuesday,January,42.339841,-71.065753
16-0000872,10,Tuesday,January,42.3475844,-71.065728
16-0000873,10,Tuesday,January,42.3016751,-71.1086524
16-0000874,11,Tuesday,January,,
16-0000875,11,Tuesday,January,42.9908333,-80.2705126
16-0000879,11,Tuesday,January,42.317882,-71.081988
16-0000880,11,Tuesday,January,,
16-0000881,11,Tuesday,January,42.292773,-71.121393
16-0000882,11,Tuesday,January,,
16-0000884,11,Tuesday,January,14.2797483,120.9732905
16-0000886,11,Tuesday,January,42.294817,-71.05132
16-0000887,11,Tuesday,January,42.288855,-71.13176
16-0000889,11,Tuesday,January,40.8902279,-77.7803016
16-0000890,11,Tuesday,January,42.30296,-71.15095
16-0000891,11,Tuesday,January,,
16-0000894,12,Tuesday,January,42.308878,-71.10245
16-0000895,12,Tuesday,January,,
16-0000896,12,Tuesday,January,,
16-0000898,12,Tuesday,January,42.3541956,-71.0539964
16-0000902,12,Tuesday,January,42.9908333,-80.2705126
16-0000903,12,Tuesday,January,42.2853759,-71.1567196
16-0000905,12,Tuesday,January,42.3480222,-71.0784264
16-0000906,13,Tuesday,January,-27.4952134,-58.8115723
16-0000909,13,Tuesday,January,37.666034,-97.341968
16-0000910,13,Tuesday,January,42.27874,-71.079765
16-0000911,13,Tuesday,January,42.310631,-71.067723
16-0000912,13,Tuesday,January,,
16-0000913,13,Tuesday,January,,
16-0000914,13,Tuesday,January,39.5545426,-77.7036034
16-0000915,13,Tuesday,January,,
16-0000916,13,Tuesday,January,53.0507887,0.1290495
16-0000917,13,Tuesday,January,42.349934,-71.074646
16-0000918,13,Tuesday,January,42.3604823,-71.0595678
16-0000919,13,Tuesday,January,39.5545426,-77.7036034
16-0000920,13,Tuesday,January,42.3553648,-71.0581312
16-0000921,14,Tuesday,January,42.3503105,-71.0798846
16-0000922,14,Tuesday,January,42.310631,-71.067723
16-0000923,14,Tuesday,January,42.3694004,-71.0392245
16-0000925,14,Tuesday,January,42.3664741,-71.0546855
16-0000927,14,Tuesday,January,,
16-0000929,14,Tuesday,January,42.3663498,-71.0621144
16-0000930,14,Tuesday,January,42.295983,-71.1177004
16-0000931,14,Tuesday,January,,
16-0000934,14,Tuesday,January,,
16-0000942,15,Tuesday,January,,
16-0000944,15,Tuesday,January,,
16-0000945,15,Tuesday,January,,
16-0000947,16,Tuesday,January,42.292773,-71.121393
16-0000948,16,Tuesday,January,42.3480222,-71.0784264
16-0000949,16,Tuesday,January,40.651687,-73.645176
16-0000950,16,Tuesday,January,42.312606,-71.066994
16-0000952,16,Tuesday,January,42.347664,-71.0730394
16-0000954,16,Tuesday,January,42.3460929,-71.0749637
16-0000955,16,Tuesday,January,41.135926,-75.046018
16-0000956,16,Tuesday,January,,
16-0000957,17,Tuesday,January,42.3604823,-71.0595678
16-0000958,17,Tuesday,January,,
16-0000960,17,Tuesday,January,42.295634,-71.059082
16-0000962,17,Tuesday,January,42.319958,-71.081383
16-0000963,17,Tuesday,January,42.3182467,-71.0426228
16-0000964,17,Tuesday,January,42.3560992,-71.053918610129
16-0000965,17,Tuesday,January,42.3500548,-71.0774775
16-0000966,17,Tuesday,January,42.3560992,-71.053918610129
16-0000967,17,Tuesday,January,42.3502282,-71.0569929
16-0000969,17,Tuesday,January,42.3675761,-71.0389595
16-0000974,18,Tuesday,January,,
16-0000975,18,Tuesday,January,,
16-0000976,18,Tuesday,January,,
16-0000977,18,Tuesday,January,42.344337,-71.088088
16-0000978,18,Tuesday,January,53.9070237,-1.3541998
16-0000979,18,Tuesday,January,42.3304274,-71.0502231
16-0000980,18,Tuesday,January,,
16-0000981,19,Tuesday,January,,
16-0000982,19,Tuesday,January,42.3304274,-71.0502231
16-0000983,19,Tuesday,January,,
16-0000984,19,Tuesday,January,,
