Incident Number,Day,Month,Hour,Lat,Long
16-0000583,0,Monday,0,42.347664,-71.0730394
16-0000586,1,Monday,0,42.3461583,-71.0433047
16-0000590,2,Monday,0,42.292987,-71.081442
16-0000591,2,Monday,0,42.258318,-71.125902
16-0000592,2,Monday,0,42.3604823,-71.0595678
16-0000599,4,Monday,0,42.2806486,-71.0857381
16-0000600,4,Monday,0,42.3436979,-71.0973964
16-0000603,4,Monday,0,42.3319603,-71.1120478
16-0000604,5,Monday,0,42.3199571,-71.1117076
16-0000605,6,Monday,0,42.3468062,-71.0392626
16-0000606,6,Monday,0,42.258318,-71.125902
16-0000609,6,Monday,0,42.366438,-71.057963
16-0000612,7,Monday,0,43.5297395,-79.9011934
16-0000616,7,Monday,0,42.3604823,-71.0595678
16-0000621,8,Monday,0,42.346817,-71.085501
16-0000623,8,Monday,0,42.3350044,-71.0885753
16-0000625,8,Monday,0,42.3525866,-71.067535
16-0000629,9,Monday,0,42.3280082,-71.0829258
16-0000641,10,Monday,0,42.3582926,-71.0602525
16-0000647,10,Monday,0,42.3350044,-71.0885753
16-0000648,10,Monday,0,42.3002158,-71.1131888
16-0000654,10,Monday,0,42.3464814,-71.08146795
16-0000656,11,Monday,0,42.33481495,-71.07220111
16-0000658,11,Monday,0,42.355119,-71.0619036
16-0000660,11,Monday,0,42.3593398,-71.0535429
16-0000661,11,Monday,0,42.3584119,-71.05444766
16-0000664,11,Monday,0,42.392714,-71.004695
16-0000665,11,Monday,0,42.3299,-71.079064
16-0000667,11,Monday,0,42.316614,-71.103125
16-0000680,13,Monday,0,42.287186,-71.0801765
16-0000691,14,Monday,0,42.3158007,-71.0637125
16-0000693,14,Monday,0,42.3042649,-71.0744953
16-0000695,14,Monday,0,42.364058,-71.056317
16-0000700,15,Monday,0,42.3525866,-71.067535
16-0000704,16,Monday,0,42.366904,-71.0684657
16-0000705,16,Monday,0,42.3503105,-71.0798846
16-0000709,17,Monday,0,42.317882,-71.081988
16-0000712,17,Monday,0,42.3531008,-71.0547826
16-0000715,18,Monday,0,42.372644,-71.060758
